,Need for Cognition,Need for closure,Susceptibility to persuasion,Skepticism,AI Expertise
6845d1384ddb223de169ff57,0.85,0.5625,0.875,0.625,0.6875
66f47421b650b6c39e80fa0d,0.7,0.375,0.5,0.8125,0.8125
67b9ea0f7c1ce0cc342a9b92,0.65,0.75,0.75,0.75,0.625
665e2a3fcff6620a57b2fcd6,0.55,0.5625,0.75,0.75,0.4375
67e58fdd13f4a6a894472087,0.6,0.6875,0.8125,0.625,0.6875
636598a7a571403968d03bf2,0.75,0.5,0.6875,0.9375,0.625
67fbf5834e1fe4456de15062,0.8,0.8125,0.5,0.9375,0.375
68435a3d4406d0c8713438b8,0.75,0.75,0.8125,0.8125,0.6875
66bf8e9849e9d38db3d8d40e,0.65,0.6875,1.0,0.75,0.5
68267b107b6b28aa4b339ae9,0.75,0.25,0.6875,0.8125,0.8125
67ea62e9718f553d22141a4f,0.75,0.75,0.5,0.875,0.6875
67aa9a444dc88e4137cd0a45,0.85,0.8125,0.6875,0.875,0.8125
6847addf601309feaf4b493d,0.6,0.6875,0.9375,0.875,0.6875
67746ee55ca6064173cd144c,0.6,0.5625,0.8125,0.9375,0.625
67e9f5c8972a4be47457bbe1,0.85,0.6875,0.6875,0.9375,0.75
6844b5ecdd3abd0d5459cac1,0.8,0.5,0.5,0.875,0.625
6159ccda0f6f7807b9207e4b,0.9,0.6875,0.625,0.875,0.9375
682a066004d79a4c4319639c,0.55,0.3125,0.6875,0.625,0.625
67acacf033444654db29a196,0.75,0.6875,0.6875,0.8125,0.625
683cb082415c735de66f35c6,0.75,0.5625,0.5,0.625,0.5625
60b932147633bf0dd446941e,0.55,0.5625,0.75,0.875,0.625
647660ef7bc13de7eaf0c76e,0.55,0.9375,0.8125,0.875,0.9375
6682a6cf425086c187769348,0.65,0.75,0.75,0.625,0.8125
68376c52ffb5075f5976053a,0.5,0.625,0.8125,0.75,0.625
6777512e3d92c407ed6af464,0.7,0.75,0.75,0.8125,0.75
6840b7ccec83f76347d59ef4,0.6,0.75,1.0,0.75,0.75
6745bcf265be386d152870ce,0.7,0.5,0.375,0.8125,0.6875
5d951ede9b6f880018f63b6e,0.9,0.75,0.75,0.8125,0.75
60fd6618f9a377f54dcdf318,0.7,0.625,0.625,0.8125,0.375
678e459ede7a31176f9d890d,1.0,0.625,0.0,1.0,1.0
62e154b0682e270b4acdf5ee,0.85,0.5,0.4375,0.5625,0.8125
66fd3f6c93c24ecc119be354,0.75,0.5625,0.5,1.0,0.3125
682cdf5a7aa895fa55e46a2b,0.6,0.75,0.875,0.6875,0.6875
5fe075e18bcb1f9880880ce2,0.8,0.3125,0.75,0.625,0.8125
6838bf09c0e78e90e12c6611,0.65,0.75,0.5625,0.9375,0.9375
6630e55b3b999569b5a36635,0.35,0.625,0.6875,0.75,0.75
6848e67c18561723a78811ce,0.45,0.625,0.75,0.75,0.625
6838b02d3ba617905dab5fa7,0.75,0.5625,0.9375,0.875,0.5
6838dea05d64a39675c02a59,0.55,0.5625,0.625,0.6875,0.6875
683fb4226b0e0176b6f57d71,0.65,0.75,0.75,0.875,0.75
58cd0bc2a47dbb000171dc8b,0.75,0.375,0.9375,0.875,1.0
68427a4366aa20709cb45430,0.85,0.8125,0.75,0.5625,0.625
5aed7ebd75deca0001626f9a,0.75,0.4375,0.5,0.6875,0.5
67d5c033e2acf64c25e88294,0.65,0.6875,0.6875,0.75,0.5625
67d34cb37287d4934dee886d,0.55,0.5,0.6875,0.6875,0.4375
5da35e177f1f7d001405f60b,0.5,0.1875,0.5625,0.5,0.6875
664df024c7ce709382bea0ed,0.45,0.625,0.75,0.875,0.75
5f91a6bf59acc003a749718a,0.95,0.75,0.9375,0.6875,1.0
68337aedd4a04db086c76927,0.45,0.6875,0.875,0.875,0.5625
678063ddb3b444c30ed8d792,1.0,0.4375,0.5,1.0,0.9375
67cd9cf6fcf63b6ab8f21390,0.4,0.5625,0.625,0.625,0.6875
5eaecb0824839e59ed3523eb,0.9,0.6875,0.5625,0.9375,0.8125
67d9e8a1074327b372eb538d,0.9,0.5,0.4375,0.9375,0.625
5a0c4184fe645f0001e9f5dd,0.45,0.5625,0.625,0.6875,0.625
68472f1498c009b70916120c,0.55,0.5,0.6875,0.75,0.875
683125f13f58fd063987dcdd,0.75,0.4375,0.75,0.625,0.625
683df46689997f6f8464640d,0.6,0.6875,0.75,0.8125,0.75
6830e26106c81dddbab407f0,0.7,0.5,0.75,0.5,0.625
670d89e20d9505598161c571,0.45,0.4375,0.8125,0.875,0.375
68369793196a6f8760f9a3ac,0.75,0.625,0.625,0.75,0.5625
68360d53a50cd7cb7c2dfeb2,0.65,0.625,0.625,0.6875,0.75
6828d072a3dcfd439685b984,0.55,0.625,0.75,0.75,0.6875
67d1712c192894dc4e2c2ee8,0.5,0.5625,0.625,0.8125,0.5625
5f4c810ebfcaa8194f5d8c14,0.55,0.4375,0.625,0.75,0.625
5badf0aeae1d020001df2cc7,0.55,0.4375,0.625,0.6875,0.8125
6730e0ef3a55ae89d05e0eaf,0.8,0.625,0.75,0.8125,0.5625
672d98919cc177d28c204e76,0.55,0.5625,0.5625,0.8125,0.625
682da4a6944a8ae7317d3f43,0.45,0.625,0.6875,0.75,0.625
682d26c5ad00fe7a871dbcf6,0.65,0.8125,0.75,0.9375,0.8125
6840e27b2b4d77b177c0c0e1,0.9,0.5,0.3125,0.9375,0.75
676334ae578dda6ef33f5886,0.5,0.625,0.75,0.5625,0.75
60ed501279c68ea1a313d0aa,0.5,0.625,0.8125,0.75,0.4375
607ec7379eac7be04ab448e3,0.55,0.8125,0.4375,0.8125,0.8125
6685cec5c360283099e5bb29,0.7,0.5,0.5,0.4375,0.625
682d013fe5f406da883abb0b,0.45,0.6875,0.6875,0.625,0.6875
68354fb74c288c4a1c393869,0.8,0.75,1.0,1.0,0.75
669677d986a5a20026bbf20e,0.7,0.375,0.8125,0.75,0.5625
6841aae609b740f6ce7c32ab,0.65,0.5625,0.875,0.625,0.6875
683667d92d0bfb2cf3f5c7a6,0.9,0.625,0.75,0.9375,0.75
5d4310bbd8e961001b825ca4,0.4,0.25,0.5,0.75,0.75
683522b3a924effe3bbf002d,0.65,0.625,0.75,0.75,0.625
682f5406251423201b2be713,1.0,1.0,0.5,0.75,0.75
683b0eb001a2d691a11b1c63,0.85,0.5625,0.8125,0.875,0.8125
613637a4f7a0e5359082010b,0.95,0.5625,0.6875,0.875,0.8125
66c89eb04ea6921d950d6a53,0.65,0.5625,0.75,0.8125,0.6875
683decac475fe0b9b1e79e58,0.45,0.8125,0.5625,0.9375,0.6875
5edfe8300b4b53308b653387,0.7,0.5,0.8125,0.75,0.5
6775705bea43dc075785b62a,0.45,0.375,0.5625,0.5,0.5
6838b6e648a361a89a734c10,0.75,0.75,0.8125,0.8125,0.8125
5f64a76a72434804865f1db1,0.65,0.4375,0.75,0.8125,0.4375
60aad516e34718d318bfb44d,0.55,0.625,0.8125,0.9375,0.4375
60d9dfd4dcc09cf57dc92cb1,0.6,0.5625,0.6875,0.6875,0.6875
5dd05d80b2204f1487f7812c,0.55,0.5,0.75,0.6875,0.5625
682e04457533f40df7cbeb33,0.95,0.5,1.0,1.0,0.625
6765bcb79fbd620b26b702f2,0.3,0.375,0.6875,0.6875,0.5625
65de5ddcc637719fe458fc76,0.65,0.5625,0.8125,0.75,0.6875
6835127360b14e6f841e6eee,0.95,0.5625,0.75,0.8125,0.6875
59b5a275c05bb50001eb3c4b,0.85,0.5625,0.4375,0.75,0.4375
5bf3199ebe7c7300017b710a,0.7,0.5625,0.75,0.625,0.75
682ac1b6669fa157b2399b41,0.9,0.75,0.6875,0.9375,0.6875
683214124fc81b527be7698a,0.45,0.6875,0.8125,0.9375,0.75
683e23aee0b3378fa1254b1a,0.85,0.6875,0.8125,0.6875,0.6875
6826ef3f8068b3697bfe9396,0.9,0.75,0.9375,1.0,0.75
6847c7975f0d5a6d64f81366,0.75,0.8125,0.5625,0.8125,0.5625
682f5d72ef317a852db10a5d,0.65,0.25,0.8125,0.75,0.8125
682ce5b3691f26ac9cd1afd2,0.85,0.75,0.625,0.875,0.625
6842391141ea8159c090a738,0.55,0.5625,0.8125,0.625,0.6875
67fd46db088825e305648e1a,0.75,0.5625,0.75,0.8125,0.8125
6845b92c300f8f1eedb5a62c,0.75,0.6875,0.8125,0.9375,0.75
68334e7ff7983574f4625769,0.5,0.8125,0.8125,1.0,0.75
646346fe4c7507b84b11a28a,0.7,0.5625,0.6875,0.6875,0.25
683ce86365da3a5e829e1fe8,0.75,0.4375,0.75,0.9375,0.875
683353ce36d79ae8a325c1a3,0.55,0.75,0.875,1.0,0.875
6691a5c500af8a7d634133f7,1.0,0.6875,0.25,0.9375,0.75
682e253fb4fc053956ae3086,1.0,0.4375,0.75,0.875,0.75
67d70c5dd49be5fc0a758755,0.95,0.5625,0.6875,1.0,0.9375
6836342d1e880eae3278a87e,0.7,0.75,1.0,0.9375,0.9375
5ae3003bca00550001e4a4b7,0.65,0.6875,0.625,0.75,0.625
6826a954abf6527a7a70f19f,1.0,0.4375,0.5625,1.0,0.6875
675ce427f72ea526d6083376,0.85,0.4375,0.5,0.75,0.6875
67229811bb29b9274c500958,0.55,0.5,0.75,0.625,0.875
6758de6c918d844588f31949,0.6,0.625,0.75,0.5625,0.25
683c620fb9da9979283dcdec,0.95,0.75,0.8125,0.9375,0.8125
609e992968b0852fe9e73fed,0.7,0.4375,0.75,0.6875,0.75
6835d1652e9c079863b499f6,0.75,0.75,0.875,0.9375,0.875
67cc685deb5f04f1fa1ed641,0.95,0.75,0.75,0.9375,0.8125
678b6f14e9936eb344e4a845,0.9,0.5,0.75,0.9375,0.6875
6838b97da46a62000b1ead6e,0.75,0.75,0.875,0.8125,0.6875
6790ca555dd18d3dff468319,0.9,0.6875,0.75,0.75,0.6875
683fbddb583d9944e4d71c49,0.95,0.5625,0.5,1.0,0.8125
66735fc590d2b006289002b6,0.65,0.5625,0.5,0.5,0.5
67f09ad02524e8b1d810e0a4,0.95,0.8125,0.8125,0.9375,0.75
608c3c5e1cf6e05149f36b6a,0.65,0.5625,0.8125,0.8125,0.75
67a507f52decb8dbaacc29e3,0.85,0.625,0.875,1.0,0.875
6612990fa0e1d2605331a833,0.55,0.375,0.6875,0.625,0.1875
6849c804c412a1bdd6d48f56,0.55,0.5625,0.625,0.6875,0.5625
612058b64e8bd208d39fbe68,0.55,0.375,0.625,0.6875,0.625
67adeb124ea5587ac8afa3ac,0.75,0.5625,0.875,0.625,0.625
6755a0ba328d7effd6e56a20,0.75,0.75,0.6875,0.875,0.5
67eac4d6bf3d1c4df7bd65df,0.7,0.8125,0.6875,0.6875,0.625
2,0.95,0.25,0.9375,0.5625,0.9375
3,0.6,0.4375,0.6875,0.75,1.0
4,0.7,0.375,0.6875,0.5625,0.875
5,0.7,0.375,0.5,0.75,0.5
6,0.75,0.875,0.5625,0.5625,0.875
7,1.0,1.0,1.0,1.0,0.75
8,0.65,0.5625,0.375,0.6875,0.5625
9,0.85,0.625,0.5625,0.875,0.75
10,0.7,0.5625,0.6875,0.5625,0.8125
11,0.6,0.625,0.625,0.875,0.5
12,0.65,0.6875,0.5625,0.75,0.5
13,0.7,0.625,0.75,0.9375,0.625
14,0.45,0.4375,0.5,0.625,0.6875
15,0.4,0.3125,0.6875,0.4375,0.4375
16,0.95,0.625,0.6875,0.9375,0.8125
17,0.7,0.75,0.6875,0.875,0.375
18,0.6,0.4375,0.4375,0.8125,0.625
19,0.75,0.625,0.6875,1.0,0.6875
20,0.9,0.8125,0.9375,0.875,0.8125
21,0.75,0.75,0.75,0.8125,0.6875
22,0.45,0.625,0.8125,0.75,0.5
23,0.5,0.5,0.875,0.875,0.4375
24,0.65,0.5,0.75,0.625,0.625
25,0.75,0.5625,0.625,0.8125,0.6875
26,0.7,0.5,0.875,1.0,0.75
27,0.55,0.625,0.9375,0.9375,0.5625
28,0.6,0.375,0.625,0.875,0.625
29,0.75,0.4375,0.75,0.6875,0.6875
30,0.55,0.625,0.75,1.0,0.5625
31,0.8,0.75,0.875,0.9375,0.6875
32,0.7,0.625,0.625,0.625,0.625
33,0.45,0.5625,0.6875,0.875,0.5625
34,0.5,0.75,0.9375,0.875,0.875
35,0.9,0.6875,0.6875,0.8125,0.75
36,0.65,0.4375,0.625,0.4375,0.75
37,1.0,0.8125,0.4375,0.75,0.6875
38,0.8,0.875,0.5,1.0,0.9375
39,0.75,0.375,0.5,0.6875,0.625
40,0.55,0.3125,0.8125,0.75,0.75
41,0.8,0.75,0.6875,0.75,0.625
42,0.85,0.9375,0.5625,0.75,0.75
43,0.75,0.75,0.625,0.875,0.625
44,0.85,0.625,0.625,0.9375,0.625
45,0.75,0.625,0.625,0.9375,0.875
46,0.6,0.625,0.6875,0.6875,0.25
47,0.65,0.4375,0.625,0.875,0.5625
48,0.6,0.5,0.5625,0.75,0.75
49,0.6,0.625,0.625,0.8125,0.5
50,0.85,0.9375,0.9375,1.0,0.75
51,0.95,0.5625,0.75,0.875,0.75
52,0.85,1.0,0.8125,1.0,0.4375
53,0.6,0.5625,0.625,0.6875,0.5625
54,0.85,0.75,0.75,0.9375,0.5625
55,1.0,0.6875,0.6875,1.0,0.9375
56,0.8,0.5625,0.75,0.875,0.6875
57,0.8,0.625,0.5625,0.9375,0.875
58,0.5,0.625,0.6875,0.5625,0.6875
59,0.25,0.4375,0.5625,0.4375,0.5625
60,0.75,0.5625,0.8125,0.75,0.25
61,0.35,0.5625,0.6875,0.6875,0.625
62,0.85,0.6875,0.75,0.75,0.6875
63,0.55,0.75,0.75,0.9375,0.75
64,0.45,0.5625,0.6875,0.625,0.625
65,0.65,0.4375,0.6875,0.75,0.5625
66,0.45,0.4375,0.5,0.6875,0.5625
67,0.7,1.0,1.0,1.0,1.0
68,0.75,0.625,0.625,0.75,0.625
69,0.8,0.6875,0.875,0.75,0.625
70,0.6,0.5,0.5625,0.75,0.5
71,0.65,0.5,0.625,0.8125,0.5625
72,0.65,0.375,0.8125,0.8125,0.75
73,0.6,0.5625,0.5,0.5625,0.5625
74,0.7,0.375,0.5625,0.6875,0.5625
75,0.65,0.625,0.625,0.625,0.5
76,0.55,0.5625,0.6875,0.75,0.5
77,0.6,0.375,0.6875,0.6875,0.75
78,0.55,0.625,0.75,0.5,0.5
79,0.55,0.6875,0.9375,0.8125,0.5625
80,0.7,0.625,0.9375,0.875,0.75
81,0.65,0.5625,0.6875,0.6875,0.6875
82,0.75,0.4375,0.625,0.6875,0.75
83,0.55,0.375,0.625,0.875,0.875
84,0.6,0.9375,0.25,0.9375,0.875
85,0.75,0.5625,0.6875,0.75,0.6875
86,0.6,0.75,0.375,0.9375,0.625
87,0.7,0.5,0.625,0.75,0.75
88,0.55,0.4375,0.625,0.5625,0.3125
89,0.75,0.375,0.4375,0.75,0.8125
90,0.7,0.6875,0.5625,0.6875,0.6875
91,0.7,0.75,0.625,0.6875,0.625
92,0.7,0.5625,0.75,0.625,0.5
93,0.75,0.5625,0.625,0.8125,0.4375
94,0.85,0.75,0.5,1.0,0.75
95,0.7,0.75,0.625,0.6875,0.75
96,0.8,0.5,0.6875,0.75,0.875
97,0.8,0.8125,0.8125,0.8125,0.6875
98,0.75,0.6875,0.4375,0.6875,0.25
99,0.8,0.6875,0.625,0.75,0.6875
100,0.5,0.625,0.5625,0.625,0.4375
101,0.7,0.75,0.375,0.8125,0.5625
102,0.65,0.4375,0.6875,0.75,0.6875
103,0.6,0.3125,0.6875,0.5625,0.5
104,0.8,0.5,0.75,0.625,0.6875
105,0.75,0.6875,0.6875,0.8125,0.4375
106,0.75,0.8125,0.8125,0.75,0.75
107,1.0,0.6875,0.75,0.9375,1.0
108,0.2,0.4375,0.5,0.8125,0.75
109,0.75,0.5625,0.375,0.75,0.4375
110,0.6,0.4375,0.4375,0.5,0.5625
111,0.7,0.6875,0.6875,0.75,0.75
112,0.75,0.625,0.625,0.625,0.75
113,0.55,0.625,0.625,0.75,0.625
114,0.5,0.5,0.8125,0.5625,0.875
115,0.7,0.5625,0.6875,0.875,0.625
116,0.7,0.8125,0.6875,0.8125,0.6875
117,0.65,0.625,0.75,0.9375,0.625
118,0.8,0.8125,0.5625,0.75,0.5625
119,0.35,0.6875,0.9375,0.75,0.5625
120,0.4,0.4375,0.6875,0.625,0.625
121,0.4,0.375,0.6875,0.9375,0.75
122,0.75,0.625,0.625,0.75,0.5625
123,0.9,0.3125,0.5625,1.0,0.875
124,0.7,0.5625,0.5,0.6875,0.375
125,0.75,0.5625,0.3125,0.9375,0.5625
126,1.0,1.0,1.0,1.0,0.75
127,0.4,0.75,0.8125,0.625,0.625
128,0.8,0.6875,0.5625,0.875,0.5625
129,0.65,0.6875,0.75,0.9375,0.5625
130,0.75,0.4375,0.5625,0.375,0.8125
131,0.95,0.625,0.5,1.0,0.75
132,0.85,0.6875,0.5625,0.8125,0.625
133,0.85,0.5625,0.6875,0.875,0.6875
134,0.4,0.5625,0.9375,0.9375,0.8125
135,0.6,0.6875,0.625,0.75,0.375
136,0.75,0.4375,0.6875,0.8125,0.6875
137,0.8,0.4375,0.5625,0.6875,0.4375
138,0.75,0.4375,0.5625,0.5,0.625
139,0.35,0.625,0.8125,1.0,0.75
140,0.9,0.5625,0.75,0.6875,0.6875
141,0.7,0.625,0.5,0.75,0.5
142,0.6,0.5,0.75,0.75,0.9375
143,0.65,0.75,0.875,0.75,0.8125
144,0.6,0.4375,0.4375,0.625,0.4375
145,0.9,0.6875,0.9375,0.875,0.75
146,0.75,0.625,0.5625,0.75,0.5625
147,0.65,0.625,0.625,0.6875,0.4375
148,0.8,0.6875,0.5,0.75,0.4375
149,0.25,0.5625,0.5625,0.5625,0.6875
150,0.65,0.375,0.625,0.6875,0.6875
151,0.45,0.6875,0.875,0.875,0.8125
152,0.75,0.625,0.875,0.75,0.5
153,0.75,0.625,0.8125,0.875,0.875
154,0.85,0.5,0.6875,0.875,0.625
159,0.85,0.625,0.6875,0.8125,0.75
160,0.75,0.1875,0.8125,0.75,0.5625
161,0.65,0.5,0.75,0.8125,0.6875
162,0.5,0.25,0.625,0.5,0.375
163,0.45,0.5,0.375,0.375,0.4375
164,0.55,0.5,0.4375,0.75,0.5
165,0.85,0.5,0.625,0.875,0.6875
166,0.8,0.4375,0.6875,0.875,0.5625
167,0.25,0.5,0.75,0.5,0.375
168,0.75,0.6875,0.6875,0.6875,0.6875
169,0.85,0.4375,0.375,0.6875,0.1875
170,0.8,0.625,0.625,0.8125,0.6875
171,0.45,0.5,0.875,0.6875,0.5
172,0.75,0.4375,0.625,0.75,0.5625
173,0.75,0.5625,0.8125,0.625,0.5625
174,0.5,0.625,0.6875,0.8125,0.8125
175,0.85,0.75,0.3125,0.5,0.75
176,0.6,0.5,0.5625,0.8125,0.625
177,0.55,0.625,0.3125,0.6875,0.5
178,0.55,0.5,0.8125,0.625,0.875
179,0.8,0.625,0.4375,0.6875,0.6875
180,0.8,0.4375,0.625,0.8125,0.5
181,0.9,0.5,0.75,0.9375,0.75
182,0.55,0.4375,0.5625,0.8125,0.875
183,0.65,0.6875,0.5,0.8125,0.6875
184,0.7,0.625,0.6875,0.6875,0.6875
185,0.65,0.625,0.1875,0.75,0.5
186,0.85,0.5,0.5,0.875,0.5625
187,0.55,0.5,0.625,0.6875,0.625
188,0.65,0.5625,0.4375,0.8125,0.5
189,0.4,0.4375,0.8125,0.5,0.8125
190,0.55,0.625,0.75,0.625,0.5625
191,0.65,0.625,0.8125,0.6875,0.5625
192,0.65,0.5625,0.6875,0.875,0.875
193,0.7,0.625,0.625,0.6875,0.5
194,0.85,0.8125,0.5625,0.9375,0.9375
195,0.8,0.625,0.625,0.6875,0.6875
196,0.55,0.8125,0.75,0.9375,0.5625
197,0.6,0.9375,0.8125,0.875,0.5
198,0.85,0.75,0.75,0.9375,0.75
199,0.8,0.5625,0.625,0.875,0.625
202,0.65,0.5,0.875,0.75,0.5625
203,0.6,0.625,0.5,0.75,0.5625
