,PROLIFIC_PID,ExplanationPair,Need_for_Cognition,Need_for_closure,Susceptibility_to_persuasion,Skepticism,AI_Expertise,Domain,flipped_dim,MetricType,Evaluation
10532,3,000101v010101,0.7,0.25,0.5,0.75,0.5,low,Length,Transparency,0
10727,3,000101v010101,0.7,0.25,0.5,0.75,0.5,low,Length,Usefulness,0
33737,3,001011v011011,0.7,0.25,0.5,0.75,0.5,low,Length,Trustworthiness,1
33932,3,001011v011011,0.7,0.25,0.5,0.75,0.5,low,Length,Transparency,1
34127,3,001011v011011,0.7,0.25,0.5,0.75,0.5,low,Length,Usefulness,1
42317,3,010010v010110,0.7,0.25,0.5,0.75,0.5,low,Formality,Trustworthiness,0
42512,3,010010v010110,0.7,0.25,0.5,0.75,0.5,low,Formality,Transparency,0
42707,3,010010v010110,0.7,0.25,0.5,0.75,0.5,low,Formality,Usefulness,0
61037,3,011001v011011,0.7,0.25,0.5,0.75,0.5,low,Detail,Trustworthiness,1
61232,3,011001v011011,0.7,0.25,0.5,0.75,0.5,low,Detail,Transparency,1
61427,3,011001v011011,0.7,0.25,0.5,0.75,0.5,low,Detail,Usefulness,1
75077,3,100100v110100,0.7,0.25,0.5,0.75,0.5,high,Length,Trustworthiness,1
75272,3,100100v110100,0.7,0.25,0.5,0.75,0.5,high,Length,Transparency,1
75467,3,100100v110100,0.7,0.25,0.5,0.75,0.5,high,Length,Usefulness,1
63377,3,100110v100111,0.7,0.25,0.5,0.75,0.5,high,Persuasiveness,Trustworthiness,1
63572,3,100110v100111,0.7,0.25,0.5,0.75,0.5,high,Persuasiveness,Transparency,1
63767,3,100110v100111,0.7,0.25,0.5,0.75,0.5,high,Persuasiveness,Usefulness,1
94577,3,101010v101011,0.7,0.25,0.5,0.75,0.5,high,Persuasiveness,Trustworthiness,1
94772,3,101010v101011,0.7,0.25,0.5,0.75,0.5,high,Persuasiveness,Transparency,1
94967,3,101010v101011,0.7,0.25,0.5,0.75,0.5,high,Persuasiveness,Usefulness,1
92237,3,101101v111101,0.7,0.25,0.5,0.75,0.5,high,Length,Trustworthiness,1
92432,3,101101v111101,0.7,0.25,0.5,0.75,0.5,high,Length,Transparency,1
92627,3,101101v111101,0.7,0.25,0.5,0.75,0.5,high,Length,Usefulness,1
111737,3,110011v111011,0.7,0.25,0.5,0.75,0.5,high,Structure,Trustworthiness,1
111932,3,110011v111011,0.7,0.25,0.5,0.75,0.5,high,Structure,Transparency,1
112127,3,110011v111011,0.7,0.25,0.5,0.75,0.5,high,Structure,Usefulness,1
12840,54f844c0fdf99b2bd032e149,000100v010100,0.75,0.3125,0.625,0.75,0.5625,low,Length,Trustworthiness,0
13035,54f844c0fdf99b2bd032e149,000100v010100,0.75,0.3125,0.625,0.75,0.5625,low,Length,Transparency,1
13230,54f844c0fdf99b2bd032e149,000100v010100,0.75,0.3125,0.625,0.75,0.5625,low,Length,Usefulness,1
10500,54f844c0fdf99b2bd032e149,000101v010101,0.75,0.3125,0.625,0.75,0.5625,low,Length,Trustworthiness,0
10695,54f844c0fdf99b2bd032e149,000101v010101,0.75,0.3125,0.625,0.75,0.5625,low,Length,Transparency,0
10890,54f844c0fdf99b2bd032e149,000101v010101,0.75,0.3125,0.625,0.75,0.5625,low,Length,Usefulness,1
7380,54f844c0fdf99b2bd032e149,000110v010110,0.75,0.3125,0.625,0.75,0.5625,low,Length,Trustworthiness,0
7575,54f844c0fdf99b2bd032e149,000110v010110,0.75,0.3125,0.625,0.75,0.5625,low,Length,Transparency,1
7770,54f844c0fdf99b2bd032e149,000110v010110,0.75,0.3125,0.625,0.75,0.5625,low,Length,Usefulness,0
37800,54f844c0fdf99b2bd032e149,001000v011000,0.75,0.3125,0.625,0.75,0.5625,low,Length,Trustworthiness,1
37995,54f844c0fdf99b2bd032e149,001000v011000,0.75,0.3125,0.625,0.75,0.5625,low,Length,Transparency,1
38190,54f844c0fdf99b2bd032e149,001000v011000,0.75,0.3125,0.625,0.75,0.5625,low,Length,Usefulness,1
30000,54f844c0fdf99b2bd032e149,001101v011101,0.75,0.3125,0.625,0.75,0.5625,low,Length,Trustworthiness,1
30195,54f844c0fdf99b2bd032e149,001101v011101,0.75,0.3125,0.625,0.75,0.5625,low,Length,Transparency,1
30390,54f844c0fdf99b2bd032e149,001101v011101,0.75,0.3125,0.625,0.75,0.5625,low,Length,Usefulness,1
67440,54f844c0fdf99b2bd032e149,100100v100110,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Trustworthiness,1
67635,54f844c0fdf99b2bd032e149,100100v100110,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Transparency,1
67830,54f844c0fdf99b2bd032e149,100100v100110,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Usefulness,1
66660,54f844c0fdf99b2bd032e149,100111v110111,0.75,0.3125,0.625,0.75,0.5625,high,Length,Trustworthiness,0
66855,54f844c0fdf99b2bd032e149,100111v110111,0.75,0.3125,0.625,0.75,0.5625,high,Length,Transparency,0
67050,54f844c0fdf99b2bd032e149,100111v110111,0.75,0.3125,0.625,0.75,0.5625,high,Length,Usefulness,0
97080,54f844c0fdf99b2bd032e149,101000v101010,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Trustworthiness,1
97275,54f844c0fdf99b2bd032e149,101000v101010,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Transparency,1
97470,54f844c0fdf99b2bd032e149,101000v101010,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Usefulness,1
95520,54f844c0fdf99b2bd032e149,101001v101011,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Trustworthiness,1
95715,54f844c0fdf99b2bd032e149,101001v101011,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Transparency,1
95910,54f844c0fdf99b2bd032e149,101001v101011,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Usefulness,1
101760,54f844c0fdf99b2bd032e149,110101v110111,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Trustworthiness,0
101955,54f844c0fdf99b2bd032e149,110101v110111,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Transparency,1
102150,54f844c0fdf99b2bd032e149,110101v110111,0.75,0.3125,0.625,0.75,0.5625,high,Detail,Usefulness,1
4944,56e6f0dec89073000de74780,000100v000110,0.65,0.25,0.8125,0.8125,0.75,low,Detail,Trustworthiness,1
5139,56e6f0dec89073000de74780,000100v000110,0.65,0.25,0.8125,0.8125,0.75,low,Detail,Transparency,1
5334,56e6f0dec89073000de74780,000100v000110,0.65,0.25,0.8125,0.8125,0.75,low,Detail,Usefulness,1
26004,56e6f0dec89073000de74780,001100v001110,0.65,0.25,0.8125,0.8125,0.75,low,Detail,Trustworthiness,1
26199,56e6f0dec89073000de74780,001100v001110,0.65,0.25,0.8125,0.8125,0.75,low,Detail,Transparency,1
26394,56e6f0dec89073000de74780,001100v001110,0.65,0.25,0.8125,0.8125,0.75,low,Detail,Usefulness,1
22884,56e6f0dec89073000de74780,001110v001111,0.65,0.25,0.8125,0.8125,0.75,low,Persuasiveness,Trustworthiness,0
23079,56e6f0dec89073000de74780,001110v001111,0.65,0.25,0.8125,0.8125,0.75,low,Persuasiveness,Transparency,0
23274,56e6f0dec89073000de74780,001110v001111,0.65,0.25,0.8125,0.8125,0.75,low,Persuasiveness,Usefulness,0
25224,56e6f0dec89073000de74780,001111v011111,0.65,0.25,0.8125,0.8125,0.75,low,Length,Trustworthiness,1
25419,56e6f0dec89073000de74780,001111v011111,0.65,0.25,0.8125,0.8125,0.75,low,Length,Transparency,1
25614,56e6f0dec89073000de74780,001111v011111,0.65,0.25,0.8125,0.8125,0.75,low,Length,Usefulness,1
42384,56e6f0dec89073000de74780,010010v010110,0.65,0.25,0.8125,0.8125,0.75,low,Formality,Trustworthiness,0
42579,56e6f0dec89073000de74780,010010v010110,0.65,0.25,0.8125,0.8125,0.75,low,Formality,Transparency,0
42774,56e6f0dec89073000de74780,010010v010110,0.65,0.25,0.8125,0.8125,0.75,low,Formality,Usefulness,0
84504,56e6f0dec89073000de74780,100000v110000,0.65,0.25,0.8125,0.8125,0.75,high,Length,Trustworthiness,0
84699,56e6f0dec89073000de74780,100000v110000,0.65,0.25,0.8125,0.8125,0.75,high,Length,Transparency,0
84894,56e6f0dec89073000de74780,100000v110000,0.65,0.25,0.8125,0.8125,0.75,high,Length,Usefulness,0
77484,56e6f0dec89073000de74780,100011v101011,0.65,0.25,0.8125,0.8125,0.75,high,Structure,Trustworthiness,0
77679,56e6f0dec89073000de74780,100011v101011,0.65,0.25,0.8125,0.8125,0.75,high,Structure,Transparency,0
77874,56e6f0dec89073000de74780,100011v101011,0.65,0.25,0.8125,0.8125,0.75,high,Structure,Usefulness,0
74364,56e6f0dec89073000de74780,100100v101100,0.65,0.25,0.8125,0.8125,0.75,high,Structure,Trustworthiness,1
74559,56e6f0dec89073000de74780,100100v101100,0.65,0.25,0.8125,0.8125,0.75,high,Structure,Transparency,1
74754,56e6f0dec89073000de74780,100100v101100,0.65,0.25,0.8125,0.8125,0.75,high,Structure,Usefulness,1
96204,56e6f0dec89073000de74780,101011v111011,0.65,0.25,0.8125,0.8125,0.75,high,Length,Trustworthiness,1
96399,56e6f0dec89073000de74780,101011v111011,0.65,0.25,0.8125,0.8125,0.75,high,Length,Transparency,1
96594,56e6f0dec89073000de74780,101011v111011,0.65,0.25,0.8125,0.8125,0.75,high,Length,Usefulness,1
116484,56e6f0dec89073000de74780,111110v111111,0.65,0.25,0.8125,0.8125,0.75,high,Persuasiveness,Trustworthiness,0
116679,56e6f0dec89073000de74780,111110v111111,0.65,0.25,0.8125,0.8125,0.75,high,Persuasiveness,Transparency,0
116874,56e6f0dec89073000de74780,111110v111111,0.65,0.25,0.8125,0.8125,0.75,high,Persuasiveness,Usefulness,0
11182,570e14beceaf25000d141f5c,000000v000100,0.6,0.625,0.5625,0.75,0.5,low,Formality,Trustworthiness,1
11377,570e14beceaf25000d141f5c,000000v000100,0.6,0.625,0.5625,0.75,0.5,low,Formality,Transparency,1
11572,570e14beceaf25000d141f5c,000000v000100,0.6,0.625,0.5625,0.75,0.5,low,Formality,Usefulness,1
27562,570e14beceaf25000d141f5c,001110v011110,0.6,0.625,0.5625,0.75,0.5,low,Length,Trustworthiness,1
27757,570e14beceaf25000d141f5c,001110v011110,0.6,0.625,0.5625,0.75,0.5,low,Length,Transparency,1
27952,570e14beceaf25000d141f5c,001110v011110,0.6,0.625,0.5625,0.75,0.5,low,Length,Usefulness,1
49402,570e14beceaf25000d141f5c,010011v011011,0.6,0.625,0.5625,0.75,0.5,low,Structure,Trustworthiness,1
49597,570e14beceaf25000d141f5c,010011v011011,0.6,0.625,0.5625,0.75,0.5,low,Structure,Transparency,1
49792,570e14beceaf25000d141f5c,010011v011011,0.6,0.625,0.5625,0.75,0.5,low,Structure,Usefulness,1
40822,570e14beceaf25000d141f5c,010111v011111,0.6,0.625,0.5625,0.75,0.5,low,Structure,Trustworthiness,1
41017,570e14beceaf25000d141f5c,010111v011111,0.6,0.625,0.5625,0.75,0.5,low,Structure,Transparency,1
41212,570e14beceaf25000d141f5c,010111v011111,0.6,0.625,0.5625,0.75,0.5,low,Structure,Usefulness,1
60322,570e14beceaf25000d141f5c,011010v011011,0.6,0.625,0.5625,0.75,0.5,low,Persuasiveness,Trustworthiness,0
60517,570e14beceaf25000d141f5c,011010v011011,0.6,0.625,0.5625,0.75,0.5,low,Persuasiveness,Transparency,0
60712,570e14beceaf25000d141f5c,011010v011011,0.6,0.625,0.5625,0.75,0.5,low,Persuasiveness,Usefulness,0
79822,570e14beceaf25000d141f5c,100010v101010,0.6,0.625,0.5625,0.75,0.5,high,Structure,Trustworthiness,1
80017,570e14beceaf25000d141f5c,100010v101010,0.6,0.625,0.5625,0.75,0.5,high,Structure,Transparency,1
80212,570e14beceaf25000d141f5c,100010v101010,0.6,0.625,0.5625,0.75,0.5,high,Structure,Usefulness,1
63442,570e14beceaf25000d141f5c,100110v100111,0.6,0.625,0.5625,0.75,0.5,high,Persuasiveness,Trustworthiness,1
63637,570e14beceaf25000d141f5c,100110v100111,0.6,0.625,0.5625,0.75,0.5,high,Persuasiveness,Transparency,1
63832,570e14beceaf25000d141f5c,100110v100111,0.6,0.625,0.5625,0.75,0.5,high,Persuasiveness,Usefulness,1
66562,570e14beceaf25000d141f5c,100111v110111,0.6,0.625,0.5625,0.75,0.5,high,Length,Trustworthiness,1
66757,570e14beceaf25000d141f5c,100111v110111,0.6,0.625,0.5625,0.75,0.5,high,Length,Transparency,1
66952,570e14beceaf25000d141f5c,100111v110111,0.6,0.625,0.5625,0.75,0.5,high,Length,Usefulness,1
110242,570e14beceaf25000d141f5c,110010v110011,0.6,0.625,0.5625,0.75,0.5,high,Persuasiveness,Trustworthiness,1
110437,570e14beceaf25000d141f5c,110010v110011,0.6,0.625,0.5625,0.75,0.5,high,Persuasiveness,Transparency,1
110632,570e14beceaf25000d141f5c,110010v110011,0.6,0.625,0.5625,0.75,0.5,high,Persuasiveness,Usefulness,1
105562,570e14beceaf25000d141f5c,110110v111110,0.6,0.625,0.5625,0.75,0.5,high,Structure,Trustworthiness,1
105757,570e14beceaf25000d141f5c,110110v111110,0.6,0.625,0.5625,0.75,0.5,high,Structure,Transparency,1
105952,570e14beceaf25000d141f5c,110110v111110,0.6,0.625,0.5625,0.75,0.5,high,Structure,Usefulness,1
19715,5731e0665b8b06000f7e359f,000001v001001,0.5,0.375,0.875,0.875,0.4375,low,Structure,Trustworthiness,0
19910,5731e0665b8b06000f7e359f,000001v001001,0.5,0.375,0.875,0.875,0.4375,low,Structure,Transparency,0
20105,5731e0665b8b06000f7e359f,000001v001001,0.5,0.375,0.875,0.875,0.4375,low,Structure,Usefulness,0
14255,5731e0665b8b06000f7e359f,000001v000011,0.5,0.375,0.875,0.875,0.4375,low,Detail,Trustworthiness,1
14450,5731e0665b8b06000f7e359f,000001v000011,0.5,0.375,0.875,0.875,0.4375,low,Detail,Transparency,1
14645,5731e0665b8b06000f7e359f,000001v000011,0.5,0.375,0.875,0.875,0.4375,low,Detail,Usefulness,1
50135,5731e0665b8b06000f7e359f,010000v010010,0.5,0.375,0.875,0.875,0.4375,low,Detail,Trustworthiness,0
50330,5731e0665b8b06000f7e359f,010000v010010,0.5,0.375,0.875,0.875,0.4375,low,Detail,Transparency,0
50525,5731e0665b8b06000f7e359f,010000v010010,0.5,0.375,0.875,0.875,0.4375,low,Detail,Usefulness,0
42335,5731e0665b8b06000f7e359f,010010v010110,0.5,0.375,0.875,0.875,0.4375,low,Formality,Trustworthiness,0
42530,5731e0665b8b06000f7e359f,010010v010110,0.5,0.375,0.875,0.875,0.4375,low,Formality,Transparency,0
42725,5731e0665b8b06000f7e359f,010010v010110,0.5,0.375,0.875,0.875,0.4375,low,Formality,Usefulness,0
38435,5731e0665b8b06000f7e359f,010110v010111,0.5,0.375,0.875,0.875,0.4375,low,Persuasiveness,Trustworthiness,0
38630,5731e0665b8b06000f7e359f,010110v010111,0.5,0.375,0.875,0.875,0.4375,low,Persuasiveness,Transparency,1
38825,5731e0665b8b06000f7e359f,010110v010111,0.5,0.375,0.875,0.875,0.4375,low,Persuasiveness,Usefulness,0
69635,5731e0665b8b06000f7e359f,100110v110110,0.5,0.375,0.875,0.875,0.4375,high,Length,Trustworthiness,1
69830,5731e0665b8b06000f7e359f,100110v110110,0.5,0.375,0.875,0.875,0.4375,high,Length,Transparency,1
70025,5731e0665b8b06000f7e359f,100110v110110,0.5,0.375,0.875,0.875,0.4375,high,Length,Usefulness,1
99275,5731e0665b8b06000f7e359f,101001v111001,0.5,0.375,0.875,0.875,0.4375,high,Length,Trustworthiness,1
99470,5731e0665b8b06000f7e359f,101001v111001,0.5,0.375,0.875,0.875,0.4375,high,Length,Transparency,1
99665,5731e0665b8b06000f7e359f,101001v111001,0.5,0.375,0.875,0.875,0.4375,high,Length,Usefulness,1
104735,5731e0665b8b06000f7e359f,110010v110110,0.5,0.375,0.875,0.875,0.4375,high,Formality,Trustworthiness,1
104930,5731e0665b8b06000f7e359f,110010v110110,0.5,0.375,0.875,0.875,0.4375,high,Formality,Transparency,1
105125,5731e0665b8b06000f7e359f,110010v110110,0.5,0.375,0.875,0.875,0.4375,high,Formality,Usefulness,1
105515,5731e0665b8b06000f7e359f,110110v111110,0.5,0.375,0.875,0.875,0.4375,high,Structure,Trustworthiness,0
105710,5731e0665b8b06000f7e359f,110110v111110,0.5,0.375,0.875,0.875,0.4375,high,Structure,Transparency,0
105905,5731e0665b8b06000f7e359f,110110v111110,0.5,0.375,0.875,0.875,0.4375,high,Structure,Usefulness,0
101615,5731e0665b8b06000f7e359f,110101v110111,0.5,0.375,0.875,0.875,0.4375,high,Detail,Trustworthiness,1
101810,5731e0665b8b06000f7e359f,110101v110111,0.5,0.375,0.875,0.875,0.4375,high,Detail,Transparency,1
102005,5731e0665b8b06000f7e359f,110101v110111,0.5,0.375,0.875,0.875,0.4375,high,Detail,Usefulness,1
14320,5a1aae2e10f454000177bb97,000001v000011,0.55,0.3125,0.625,0.5625,0.3125,low,Detail,Trustworthiness,0
14515,5a1aae2e10f454000177bb97,000001v000011,0.55,0.3125,0.625,0.5625,0.3125,low,Detail,Transparency,1
14710,5a1aae2e10f454000177bb97,000001v000011,0.55,0.3125,0.625,0.5625,0.3125,low,Detail,Usefulness,1
15880,5a1aae2e10f454000177bb97,000011v010011,0.55,0.3125,0.625,0.5625,0.3125,low,Length,Trustworthiness,1
16075,5a1aae2e10f454000177bb97,000011v010011,0.55,0.3125,0.625,0.5625,0.3125,low,Length,Transparency,1
16270,5a1aae2e10f454000177bb97,000011v010011,0.55,0.3125,0.625,0.5625,0.3125,low,Length,Usefulness,1
36160,5a1aae2e10f454000177bb97,001000v001001,0.55,0.3125,0.625,0.5625,0.3125,low,Persuasiveness,Trustworthiness,0
36355,5a1aae2e10f454000177bb97,001000v001001,0.55,0.3125,0.625,0.5625,0.3125,low,Persuasiveness,Transparency,0
36550,5a1aae2e10f454000177bb97,001000v001001,0.55,0.3125,0.625,0.5625,0.3125,low,Persuasiveness,Usefulness,0
53320,5a1aae2e10f454000177bb97,010000v011000,0.55,0.3125,0.625,0.5625,0.3125,low,Structure,Trustworthiness,0
53515,5a1aae2e10f454000177bb97,010000v011000,0.55,0.3125,0.625,0.5625,0.3125,low,Structure,Transparency,0
53710,5a1aae2e10f454000177bb97,010000v011000,0.55,0.3125,0.625,0.5625,0.3125,low,Structure,Usefulness,0
43960,5a1aae2e10f454000177bb97,010100v010101,0.55,0.3125,0.625,0.5625,0.3125,low,Persuasiveness,Trustworthiness,0
44155,5a1aae2e10f454000177bb97,010100v010101,0.55,0.3125,0.625,0.5625,0.3125,low,Persuasiveness,Transparency,0
44350,5a1aae2e10f454000177bb97,010100v010101,0.55,0.3125,0.625,0.5625,0.3125,low,Persuasiveness,Usefulness,0
82960,5a1aae2e10f454000177bb97,100001v110001,0.55,0.3125,0.625,0.5625,0.3125,high,Length,Trustworthiness,0
83155,5a1aae2e10f454000177bb97,100001v110001,0.55,0.3125,0.625,0.5625,0.3125,high,Length,Transparency,0
83350,5a1aae2e10f454000177bb97,100001v110001,0.55,0.3125,0.625,0.5625,0.3125,high,Length,Usefulness,0
79060,5a1aae2e10f454000177bb97,100000v100010,0.55,0.3125,0.625,0.5625,0.3125,high,Detail,Trustworthiness,0
79255,5a1aae2e10f454000177bb97,100000v100010,0.55,0.3125,0.625,0.5625,0.3125,high,Detail,Transparency,1
79450,5a1aae2e10f454000177bb97,100000v100010,0.55,0.3125,0.625,0.5625,0.3125,high,Detail,Usefulness,1
68140,5a1aae2e10f454000177bb97,100010v100110,0.55,0.3125,0.625,0.5625,0.3125,high,Formality,Trustworthiness,1
68335,5a1aae2e10f454000177bb97,100010v100110,0.55,0.3125,0.625,0.5625,0.3125,high,Formality,Transparency,1
68530,5a1aae2e10f454000177bb97,100010v100110,0.55,0.3125,0.625,0.5625,0.3125,high,Formality,Usefulness,1
67360,5a1aae2e10f454000177bb97,100100v100110,0.55,0.3125,0.625,0.5625,0.3125,high,Detail,Trustworthiness,0
67555,5a1aae2e10f454000177bb97,100100v100110,0.55,0.3125,0.625,0.5625,0.3125,high,Detail,Transparency,1
67750,5a1aae2e10f454000177bb97,100100v100110,0.55,0.3125,0.625,0.5625,0.3125,high,Detail,Usefulness,0
68920,5a1aae2e10f454000177bb97,100110v101110,0.55,0.3125,0.625,0.5625,0.3125,high,Structure,Trustworthiness,1
69115,5a1aae2e10f454000177bb97,100110v101110,0.55,0.3125,0.625,0.5625,0.3125,high,Structure,Transparency,1
69310,5a1aae2e10f454000177bb97,100110v101110,0.55,0.3125,0.625,0.5625,0.3125,high,Structure,Usefulness,1
21327,5b01e69aa496b300013d5b9b,000000v001000,0.65,0.5,0.625,0.625,0.5,low,Structure,Trustworthiness,0
21522,5b01e69aa496b300013d5b9b,000000v001000,0.65,0.5,0.625,0.625,0.5,low,Structure,Transparency,0
21717,5b01e69aa496b300013d5b9b,000000v001000,0.65,0.5,0.625,0.625,0.5,low,Structure,Usefulness,0
22107,5b01e69aa496b300013d5b9b,000000v010000,0.65,0.5,0.625,0.625,0.5,low,Length,Trustworthiness,1
22302,5b01e69aa496b300013d5b9b,000000v010000,0.65,0.5,0.625,0.625,0.5,low,Length,Transparency,1
22497,5b01e69aa496b300013d5b9b,000000v010000,0.65,0.5,0.625,0.625,0.5,low,Length,Usefulness,1
7287,5b01e69aa496b300013d5b9b,000110v010110,0.65,0.5,0.625,0.625,0.5,low,Length,Trustworthiness,1
7482,5b01e69aa496b300013d5b9b,000110v010110,0.65,0.5,0.625,0.625,0.5,low,Length,Transparency,1
7677,5b01e69aa496b300013d5b9b,000110v010110,0.65,0.5,0.625,0.625,0.5,low,Length,Usefulness,1
59547,5b01e69aa496b300013d5b9b,011000v011100,0.65,0.5,0.625,0.625,0.5,low,Formality,Trustworthiness,1
59742,5b01e69aa496b300013d5b9b,011000v011100,0.65,0.5,0.625,0.625,0.5,low,Formality,Transparency,0
59937,5b01e69aa496b300013d5b9b,011000v011100,0.65,0.5,0.625,0.625,0.5,low,Formality,Usefulness,0
54867,5b01e69aa496b300013d5b9b,011101v011111,0.65,0.5,0.625,0.625,0.5,low,Detail,Trustworthiness,0
55062,5b01e69aa496b300013d5b9b,011101v011111,0.65,0.5,0.625,0.625,0.5,low,Detail,Transparency,1
55257,5b01e69aa496b300013d5b9b,011101v011111,0.65,0.5,0.625,0.625,0.5,low,Detail,Usefulness,0
75927,5b01e69aa496b300013d5b9b,100010v100011,0.65,0.5,0.625,0.625,0.5,high,Persuasiveness,Trustworthiness,1
76122,5b01e69aa496b300013d5b9b,100010v100011,0.65,0.5,0.625,0.625,0.5,high,Persuasiveness,Transparency,0
76317,5b01e69aa496b300013d5b9b,100010v100011,0.65,0.5,0.625,0.625,0.5,high,Persuasiveness,Usefulness,1
71247,5b01e69aa496b300013d5b9b,100001v100101,0.65,0.5,0.625,0.625,0.5,high,Formality,Trustworthiness,1
71442,5b01e69aa496b300013d5b9b,100001v100101,0.65,0.5,0.625,0.625,0.5,high,Formality,Transparency,1
71637,5b01e69aa496b300013d5b9b,100001v100101,0.65,0.5,0.625,0.625,0.5,high,Formality,Usefulness,0
67347,5b01e69aa496b300013d5b9b,100100v100110,0.65,0.5,0.625,0.625,0.5,high,Detail,Trustworthiness,1
67542,5b01e69aa496b300013d5b9b,100100v100110,0.65,0.5,0.625,0.625,0.5,high,Detail,Transparency,1
67737,5b01e69aa496b300013d5b9b,100100v100110,0.65,0.5,0.625,0.625,0.5,high,Detail,Usefulness,1
122727,5b01e69aa496b300013d5b9b,111010v111011,0.65,0.5,0.625,0.625,0.5,high,Persuasiveness,Trustworthiness,0
122922,5b01e69aa496b300013d5b9b,111010v111011,0.65,0.5,0.625,0.625,0.5,high,Persuasiveness,Transparency,0
123117,5b01e69aa496b300013d5b9b,111010v111011,0.65,0.5,0.625,0.625,0.5,high,Persuasiveness,Usefulness,1
121167,5b01e69aa496b300013d5b9b,111001v111101,0.65,0.5,0.625,0.625,0.5,high,Formality,Trustworthiness,1
121362,5b01e69aa496b300013d5b9b,111001v111101,0.65,0.5,0.625,0.625,0.5,high,Formality,Transparency,0
121557,5b01e69aa496b300013d5b9b,111001v111101,0.65,0.5,0.625,0.625,0.5,high,Formality,Usefulness,0
